Fecha,Cantidad
1963-12-31,1
1966-12-31,2
1967-12-31,1
1968-12-31,5
1969-12-31,1
1972-12-31,2
1973-12-31,1
1974-12-31,12
1976-12-31,2
1978-12-31,1
1979-12-31,1
1982-12-31,3
1983-12-31,1
1984-12-31,9
1985-12-31,5
1986-12-31,26
1987-12-31,17
1988-12-31,12
1989-12-31,16
1990-12-31,34
1991-12-31,15
1992-12-31,9
1993-12-31,23
1994-12-31,29
1995-12-31,20
1996-12-31,16
1997-12-31,9
1998-12-31,14
1999-12-31,4
2000-12-31,7
2001-12-31,1
2002-12-31,7
2003-12-31,13
2004-12-31,9
2005-12-31,10
2006-12-31,6
2007-12-31,3
2008-12-31,2
2009-12-31,5
2010-12-31,11
2011-12-31,12
2012-12-31,18
2013-12-31,7
2014-12-31,14
2015-12-31,11
2016-12-31,13
2017-12-31,20
2018-12-31,10
2019-12-31,5
2020-12-31,22
2021-12-31,18
2022-12-31,8
